;0;1;2;3
364;MTNR5;METANORMETANOL DO NORDESTE SA;METANOR SA METANOL DO NE;16.234.171/0001-15
365;MTNR7;METANORMETANOL DO NORDESTE SA;METANOR SA METANOL DO NE;16.234.171/0001-15
366;MTSA3;METISA METALURGICA TIMBOENSE SA;METISA METALURGICA TIMBOENSE SA;86.375.425/0001-09
367;MULT3;MULTIPLANEMPREEND IMOBILIARIOS SA;MULTIPLAN EMP IMOBILIARIOS SA;07.816.890/0001-53
368;MWET3;WETZEL SA;WETZEL FUNDICAO DE FERRO SA;84.683.788/0001-78
369;MWET4;WETZEL SA;WETZEL FUNDICAO DE FERRO SA;84.683.788/0001-78
370;MYPK3;IOCHPE MAXION SA;IOCHPEMAXION SA;61.156.113/0001-75
371;NAFG3;NADIR FIGUEIREDO IND E COM SA;NADIR FIGUEIREDO IND E COM SA;61.067.161/0001-97
372;NAFG4;NADIR FIGUEIREDO IND E COM SA;NADIR FIGUEIREDO IND E COM SA;61.067.161/0001-97
373;NEMO5;SUZANO HOLDING SA;SUZANO HOLDING SA;60.651.809/0001-05
374;NEOE3;NEOENERGIA SA;NEOENERGIA SA;01.083.200/0001-18
375;NESB3;NESBER SA;NESBER COMPANHIA INDUSTRIAL;60.881.364/0001-50
376;NODA3;NOVADATA SISTEMAS E COMPUTADORES SA;NOVADATA SISTS COMPUTADORES SA;51.754.240/0001-12
377;NODA6;NOVADATA SISTEMAS E COMPUTADORES SA;NOVADATA SISTS COMPUTADORES SA;51.754.240/0001-12
378;NORD3;NORDON INDUSTRIAS METALURGICAS SA;NORDON INDS METALURGICAS SA;60.884.319/0001-59
379;NTCO3;NATURA &CO HOLDING SA;NATURA & CO HOLDING SA;32.785.497/0001-97
380;ODER4;CONSERVAS ODERICH SA;CONSERVAS ODERICH SA;97.191.902/0001-94
381;OIBR3;OI SA;OI SA EM RECUPERACAO JUDICIAL;76.535.764/0001-43
382;OIBR4;OI SA;OI SA EM RECUPERACAO JUDICIAL;76.535.764/0001-43
383;OMGE3;OMEGA GERACAO SA;OMEGA GERACAO SA;09.149.503/0001-06
384;OSXB3;OSX BRASIL SA;OSX BRASIL SA EM RECUPERACAO JUDICIAL;09.112.685/0001-32
385;PATI3;PANATLANTICA SA;PANATLANTICA SA;92.693.019/0001-89
386;PCAR3;CIA BRASILEIRA DE DISTRIBUICAO;COMPANHIA BRASILEIRA DE DISTRIBUICAO;47.508.411/0001-56
387;PEAB3;CIA PARTICIPACOES ALIANCA DA BAHIA;CIA DE PARTICIPACOES ALIANCA DA BAHIA;01.938.783/0001-11
388;PEAB4;CIA PARTICIPACOES ALIANCA DA BAHIA;CIA DE PARTICIPACOES ALIANCA DA BAHIA;01.938.783/0001-11
389;PETR4;PETROLEO BRASILEIRO SA PETROBRAS;PETROLEO BRASILEIRO SA PETROBRAS;33.000.167/0001-01
390;PFRM3;PROFARMA DISTRIB PROD FARMACEUTICOS SA;PROFARMA DISTRIB PRODUTOS FARMACEUTICOS;45.453.214/0001-51
391;PINE3;BANCO PINE SA;BANCO PINE SA;62.144.175/0001-20
392;PINE4;BANCO PINE SA;BANCO PINE SA;62.144.175/0001-20
393;PNVL3;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;92.665.611/0001-77
394;POMO3;MARCOPOLO SA;MARCOPOLO SA;88.611.835/0001-29
395;POSI3;POSITIVO TECNOLOGIA SA;POSITIVO TECNOLOGIA SA;81.243.735/0001-48
396;PRIO3;PETRO RIO SA;PETRO RIO SA;10.629.105/0001-68
397;PSEG3;SAUIPE SA;SAUIPE SA;00.866.577/0001-80
398;PSSA3;PORTO SEGURO SA;PORTO SEGURO SA;02.149.205/0001-69
399;PTNT3;PETTENATI SA INDUSTRIA TEXTIL;PETTENATI SA IND TEXTIL;88.613.658/0001-10
400;PTNT4;PETTENATI SA INDUSTRIA TEXTIL;PETTENATI SA IND TEXTIL;88.613.658/0001-10
401;QUAL3;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS SA;QUALICORP SA;11.992.680/0001-93
402;QUSW3;QUALITY SOFTWARE SA;QUALITY SOFTWARE SA;35.791.391/0001-94
403;RAIL3;RUMO SA;RUMO SA;02.387.241/0001-60
404;RANI4;IRANI PAPEL E EMBALAGEM SA;IRANI PAPEL E EMBALAGEM SA;92.791.243/0001-03
405;RAPT4;RANDON SA IMPLEMENTOS E PARTICIPACOES;RANDON SA IMPLEMENTOS E PARTICIPACOES;89.086.144/0001-16
406;RCSL4;RECRUSUL SA;RECRUSUL SA;91.333.666/0001-17
407;REDE3;REDE ENERGIA PARTICIPACOES SA;REDE ENERGIA PARTICIPACOES SA;61.584.140/0001-49
408;RENT3;LOCALIZA RENT A CAR SA;LOCALIZA FLEET SA;02.286.479/0001-08
409;RNEW3;RENOVA ENERGIA SA;RENOVA ENERGIA SA;08.534.605/0001-74
410;RNPT4;RENNER PARTICIPACOES SA;RENNER PARTICIPACOES SA;02.659.727/0001-00
411;RPAD3;ALFA HOLDINGS SA;ALFA HOLDINGS SA;17.167.396/0001-69
412;RPAD5;ALFA HOLDINGS SA;ALFA HOLDINGS SA;17.167.396/0001-69
